,Survived,Pclass,Fare,Age,Embarked_C,Embarked_S,Embarked_Q,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Rare_Title,Sex_Female
0,0.0,3.0,7.25,22.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,1.0,1.0,71.2833,38.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2,1.0,3.0,7.925,26.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
3,1.0,1.0,53.1,35.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4,0.0,3.0,8.05,35.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,0.0,3.0,8.4583,26.355948962518998,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
6,0.0,1.0,51.8625,54.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,0.0,3.0,21.075,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,1.0,3.0,11.1333,27.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
9,1.0,2.0,30.0708,14.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
10,1.0,3.0,16.7,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
11,1.0,1.0,26.55,58.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
12,0.0,3.0,8.05,20.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
13,0.0,3.0,31.275,39.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
14,0.0,3.0,7.8542,14.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
15,1.0,2.0,16.0,55.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
16,0.0,3.0,29.125,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
17,1.0,2.0,13.0,27.520223771252745,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18,0.0,3.0,18.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
19,1.0,3.0,7.225,19.30489725260853,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
20,0.0,2.0,26.0,35.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21,1.0,2.0,13.0,34.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
